StartTime,<15 MPH,<25 MPH,<30 MPH,<35 MPH,<40 MPH,<45 MPH,<50 MPH,<55 MPH,<60 MPH,<65 MPH,<70 MPH,<75 MPH,<80 MPH,<85 MPH,<255 MPH
2016-01-01 11:05:00,0,0,0,0,0,0,5,34,56,71,30,8,5,0,0
2016-01-01 11:10:00,0,0,0,0,0,2,2,35,59,81,31,8,1,0,0
2016-01-01 11:15:00,0,0,0,0,0,1,1,26,75,63,37,9,2,0,0
2016-01-01 11:20:00,0,0,0,0,0,0,5,26,61,74,32,12,1,0,0
2016-01-01 11:25:00,0,0,0,0,0,1,12,27,68,60,33,6,0,0,0
2016-01-01 11:30:00,0,0,0,0,0,0,7,41,83,61,26,8,0,0,0
2016-01-01 11:35:00,0,0,0,0,0,1,6,39,47,68,32,9,0,1,0
2016-01-01 11:40:00,0,0,0,0,0,0,9,28,88,49,27,9,0,0,0
2016-01-01 11:45:00,0,0,0,0,0,0,4,38,84,60,33,6,0,0,0
2016-01-01 11:50:00,0,0,0,0,0,2,9,39,80,73,31,2,0,0,0
2016-01-01 11:55:00,0,0,0,0,0,0,6,42,73,80,28,13,1,0,0
2016-01-01 12:00:00,0,0,0,0,0,0,5,32,70,74,31,9,0,0,0
2016-01-01 12:05:00,0,0,0,0,0,0,5,34,86,73,35,2,0,0,0
2016-01-01 12:10:00,0,0,0,0,0,2,5,26,69,72,30,5,4,1,0
2016-01-01 12:15:00,0,0,0,0,0,1,5,36,86,75,28,4,0,0,0
2016-01-01 12:20:00,0,0,0,0,2,1,10,59,68,52,19,5,1,0,0
2016-01-01 12:25:00,0,0,0,0,0,0,2,43,77,83,31,10,2,0,0
2016-01-01 12:30:00,0,0,0,0,0,0,6,46,80,81,41,5,0,0,0
2016-01-01 12:35:00,0,0,0,0,0,0,10,49,83,77,27,3,1,0,0
2016-01-01 12:40:00,0,0,0,0,0,0,5,29,70,77,30,2,1,0,0
2016-01-01 12:45:00,0,0,0,0,1,1,7,45,105,89,27,2,0,0,0
2016-01-01 12:50:00,0,0,0,0,0,0,4,24,69,82,41,3,1,0,0
2016-01-01 12:55:00,0,0,0,0,1,2,5,42,98,78,25,2,2,0,0
2016-01-01 13:00:00,0,0,0,0,0,0,6,62,85,62,29,3,0,0,0
2016-01-01 13:05:00,0,0,0,0,0,1,11,51,86,67,31,5,0,1,0
2016-01-01 13:10:00,0,0,0,0,0,3,6,44,73,88,21,8,1,0,0
2016-01-01 13:15:00,0,0,0,0,0,1,3,62,107,71,18,1,0,0,0
2016-01-01 13:20:00,0,0,0,0,0,0,4,41,84,82,36,6,1,0,0
2016-01-01 13:25:00,0,0,0,0,0,0,9,52,87,68,42,6,2,1,0
2016-01-01 13:30:00,0,0,0,0,0,0,12,46,76,79,38,11,2,0,0
2016-01-01 13:35:00,0,0,0,0,0,2,10,41,68,78,24,4,2,0,0
2016-01-01 13:40:00,0,0,0,0,0,2,17,48,94,77,26,6,0,0,0
2016-01-01 13:45:00,0,0,0,0,0,0,7,44,104,76,28,4,0,0,0
2016-01-01 13:50:00,0,0,0,0,0,0,10,40,98,69,23,10,0,1,0
2016-01-01 13:55:00,0,0,0,0,0,1,12,43,82,78,25,5,0,0,1
2016-01-01 14:00:00,0,0,0,0,1,6,24,60,90,72,21,6,0,0,0
2016-01-01 14:05:00,0,0,0,0,0,1,13,43,98,109,38,10,1,0,0
2016-01-01 14:10:00,0,0,0,0,0,3,9,64,80,79,29,8,0,0,0
2016-01-01 14:15:00,0,0,0,0,1,0,18,59,88,83,20,4,0,0,0
2016-01-01 14:20:00,0,0,0,0,0,1,11,37,89,102,42,5,0,0,0
2016-01-01 14:25:00,0,0,0,0,0,3,13,54,85,84,34,3,3,0,0
2016-01-01 14:30:00,0,0,0,0,0,1,3,65,112,73,50,9,0,0,0
2016-01-01 14:35:00,0,0,0,0,0,2,20,48,70,93,41,11,0,0,0
2016-01-01 14:40:00,0,0,0,0,0,1,13,64,106,75,21,3,0,0,0
2016-01-01 14:45:00,0,0,0,0,0,3,18,79,107,68,28,1,0,0,0
2016-01-01 14:50:00,0,0,0,0,0,1,16,47,107,94,27,5,0,0,0
2016-01-01 14:55:00,0,0,0,0,0,2,14,61,91,85,32,5,0,0,0
2016-01-01 15:00:00,0,0,0,0,1,2,11,51,78,86,31,6,1,0,0
2016-01-01 15:05:00,0,0,0,0,0,0,8,37,82,94,40,2,0,0,0
2016-01-01 15:10:00,0,0,0,0,0,6,21,49,97,75,34,3,0,0,0
2016-01-01 15:15:00,0,0,0,0,0,4,6,54,85,80,27,3,0,0,0
2016-01-01 15:20:00,0,0,0,0,0,2,12,48,96,85,32,5,0,0,0
2016-01-01 15:25:00,0,0,0,0,3,15,23,44,121,67,27,1,0,1,0
2016-01-01 15:30:00,0,0,0,0,1,1,10,47,96,77,31,8,0,0,0
2016-01-01 15:35:00,0,0,0,0,0,0,9,47,88,100,49,6,1,1,0
2016-01-01 15:40:00,0,0,0,0,0,0,13,75,107,87,19,3,0,0,0
2016-01-01 15:45:00,0,0,0,0,0,0,15,64,87,80,24,2,0,1,0
2016-01-01 15:50:00,0,0,0,0,0,8,13,44,109,92,28,3,0,0,0
2016-01-01 15:55:00,0,0,0,0,0,3,7,41,106,104,28,2,0,0,0
2016-01-01 16:00:00,0,0,0,0,1,3,19,64,93,79,15,0,0,0,0
2016-01-01 16:05:00,0,0,0,0,0,5,10,79,96,59,22,9,0,0,0
2016-01-01 16:10:00,0,0,0,0,0,0,7,45,85,81,26,7,0,0,0
2016-01-01 16:15:00,0,0,0,0,0,2,24,74,107,62,20,9,0,0,0
2016-01-01 16:20:00,0,0,0,0,0,0,12,66,113,89,18,3,0,0,0
2016-01-01 16:25:00,0,0,0,0,0,1,14,62,88,87,37,7,0,0,0
2016-01-01 16:30:00,0,0,0,0,0,2,16,68,98,79,23,3,0,0,0
2016-01-01 16:35:00,0,0,0,0,0,0,5,52,93,58,36,2,0,0,0
2016-01-01 16:40:00,0,0,0,0,0,1,7,58,102,90,24,5,0,0,0
2016-01-01 16:45:00,0,0,0,0,0,0,4,42,96,98,21,6,0,0,0
2016-01-01 16:50:00,0,0,0,0,0,1,7,55,81,67,20,2,0,0,0
2016-01-01 16:55:00,0,0,0,0,0,0,21,65,102,76,19,7,2,0,0
2016-01-01 17:00:00,0,0,0,0,0,1,14,54,98,79,27,4,0,0,0
2016-01-01 17:05:00,0,0,0,0,0,3,19,50,102,69,23,3,0,0,0
