median_weekday,IQR_weekday,median_weekend,IQR_weekend
2.376041127408955,1.1757301220287772,2.775186878400845,0.9197142664879361
2.5368348585032794,1.0967070436722417,2.6299130893252354,1.5220935352431528
2.5437119312692698,1.360955619817177,3.070792875934284,1.4393410473188597
2.6611121081056863,1.26794989714675,2.9384450163439073,1.498829831920713
2.609958724203949,1.3637330902721172,3.011790217068332,1.2951139575208828
2.3291637661718605,1.1288750827856238,2.8872369427698725,1.7707495750555697
2.4315605450823443,1.2358189992579367,2.9047945700853655,1.8025006458252593
2.3792550435517135,0.9679199127286999,2.4343308313074177,1.2991919610368798
2.2983986595579795,1.0992323888656996,2.5776049716704827,1.6204886498236548
2.1361211515661322,0.9509206111201638,2.5102619884284545,1.6046153826385399
2.0852875495418024,1.0844358461261017,2.2735593369105924,1.2329124516406709
2.115896560778459,1.0555460987221024,2.069031209332612,1.4230918563635147
2.108946187314181,0.9984934376969887,2.229349100745755,0.9272256884010315
1.9943747269669974,1.0081339437345356,2.5699308633883713,1.1633252680592578
2.0431697858517035,1.0423586553077908,2.212193727711389,1.2220186479799031
1.8930300825082358,1.0134703697423662,2.758003943778373,1.191704758719692
1.9622230334646527,1.05966099024832,2.1581852766891476,1.1388986476356955
1.8875864209771402,0.8904074805985189,2.1241480213708392,1.3334455677693917
1.9460167113586837,0.8310178839237843,2.4054791570878162,0.9456898368029061
1.9732916940827443,0.8489360302920084,2.117690867847989,1.1917451763496414
1.796377235774485,0.8326196502316423,2.057000457872064,1.0791132992158794
1.73444800743859,0.8841631780478496,2.1598644891951535,1.0867328228146935
1.8565806555003894,0.9591320239322654,2.3235805282853175,0.906197364593013
1.7852335580398238,0.9771211884695008,2.15517526425632,1.0510935006322377
1.9739478617969966,0.9138586291257518,2.4015207438456243,1.136619933832777
1.8112588576108575,0.9231802198492944,2.3745482866900964,1.0266956081729792
1.790828632495893,1.0021805293457595,2.2078941458347394,1.058152931658587
1.8136423130746504,1.1029629143760313,2.1588743037045828,1.0425496919937498
1.7103894504346084,1.0321487015335449,2.050263299226464,1.4642186973695221
1.9396106619837585,0.937421651475566,1.965078891460967,1.143643127848849
1.7984928760375591,1.0194801698592577,1.9480032100746025,0.8006422779915545
